name,label,locationname,elevation,locationglobalid,active,display,locationmpname
TO 2 inch PVC casing,TO 2 inch PVC casing,Tates Hell SF THS-2 Tractor Rd Shallow,24.47,{D65E2269-4ECA-42CF-9C34-86A61E85D4FD},Yes,1,Tates Hell SF THS-2 Tractor Rd Shallow - TO 2 inch PVC casing
Ch square,Ch square,Telogia Creek @ CR 65D,29.78,{7780CA1E-C8C2-4FB7-ABF3-6B9AE96854E5},Yes,1,Telogia Creek @ CR 65D - Ch square
TO 4 inch steel casing,TO 4 inch steel casing,Tom Brown Test,135.65,{A5766E41-466C-4550-A067-92730C4A2504},Yes,1,Tom Brown Test - TO 4 inch steel casing
TO 4 inch steel casing,TO 4 inch steel casing,Trapp Pond,168.7,{4956748C-A83C-4669-AFCD-7497C3AD183B},Yes,1,Trapp Pond - TO 4 inch steel casing
Staff,Staff,UPPER ST. MARKS SWALLET,10,{D16A5D13-22C4-4982-9675-EB8FC9B0B678},Yes,1,UPPER ST. MARKS SWALLET - Staff
TO nail in tree upstream of station,TO nail in tree upstream of station,UPPER ST. MARKS SWALLET,14.87,{0A889AD7-C7C9-4963-A9A7-13FA76FB48DF},Yes,2,UPPER ST. MARKS SWALLET - TO nail in tree upstream of station
TO 4 inch coupling on 4 inch casing,TO 4 inch coupling on 4 inch casing,USFS Porter Lake,23.07,{ABF84631-810E-44FA-990A-AFF66A69338B},Yes,1,USFS Porter Lake - TO 4 inch coupling on 4 inch casing
Wood base of clam shell at high side of steel casing,Wood base of clam shell at high side of steel casing,USGS Lake Jackson Floridan,124.12,{EF88685E-2C47-4A47-AF4D-F2C2D26467B2},Yes,1,USGS Lake Jackson Floridan - Wood base of clam shell at high side of steel casing
TO 6 inch steel casing,TO 6 inch steel casing,USGS Lake Jackson Intermediate,124.14,{6EB732D7-8142-4B78-8E71-25DD48A68D83},Yes,1,USGS Lake Jackson Intermediate - TO 6 inch steel casing
TO 4 inch steel casing,TO 4 inch steel casing,USGS-422A Near Greenhead - Floridan,70.01,{EACF4FF1-CDF8-4A78-BD8C-C26B40371FDA},Yes,1,USGS-422A Near Greenhead - Floridan - TO 4 inch steel casing
TO casing,TO casing,USGS-422B Near Greenhead,70.28,{94D80119-4283-4E8B-BD6B-66412BF7D0FE},Yes,1,USGS-422B Near Greenhead - TO casing
TO steel casing,TO steel casing,USGS-Lester Lewis,9.71,{48DE2156-2843-49F9-8068-C06BADE9618E},Yes,1,USGS-Lester Lewis - TO steel casing
TO base of recorder box,TO base of recorder box,USGS-Olson Road,194.73,{16DAE100-34C0-49EF-B4F8-0945167B3E6B},Yes,1,USGS-Olson Road - TO base of recorder box
Alum Angle,Alum Angle,W DD @ Roberts Ave,52.74,{E7943901-DE2B-425E-B908-F7CA163D19B6},Yes,1,W DD @ Roberts Ave - Alum Angle
Ch Square 8ft west of alum angle,Ch Square 8ft west of alum angle,W DD @ Roberts Ave,52.86,{D231389B-9A36-4865-8ED4-D3928A42317C},Yes,2,W DD @ Roberts Ave - Ch Square 8ft west of alum angle
Low Water 1.25 inch Pipe,Low Water 1.25 inch Pipe,W DD @ Roberts Ave,38.98,{95C2A8E9-4B59-4E0A-A86D-01BC71B623EA},Yes,3,W DD @ Roberts Ave - Low Water 1.25 inch Pipe
Staff inside of East culvert,Staff inside of East culvert,W Drainage Ditch @ W Tenn,1.91,{7BF4D456-A393-45D7-9E1B-C44ACA88C65F},Yes,1,W Drainage Ditch @ W Tenn - Staff inside of East culvert
TO 4 inch steel casing,TO 4 inch steel casing,Wakulla Correctional Institute #1,21.3,{801411CC-3B28-4590-9F47-4AA0BB4BD91B},Yes,1,Wakulla Correctional Institute #1 - TO 4 inch steel casing
TO sanitary seal,TO sanitary seal,Washington Co - Pine Ridge Dr #1,62.78,{B28AA084-A8D9-409B-AE82-EC92BAED698F},Yes,1,Washington Co - Pine Ridge Dr #1 - TO sanitary seal
TO sanitary seal,TO sanitary seal,Washington Co - Pine Ridge Dr #2,57.65,{B6D0495E-DB68-4AC2-B305-E478E065768A},Yes,1,Washington Co - Pine Ridge Dr #2 - TO sanitary seal
TO 2 inch PVC casing,TO 2 inch PVC casing,Weller Ave Deep MPZ,25.91,{EEC7EA27-E0EA-47D8-A6F3-C95E4056B5BF},Yes,1,Weller Ave Deep MPZ - TO 2 inch PVC casing
TO 3 inch steel protective casing,TO 3 inch steel protective casing,Weller Ave MPZ,26.05,{55BE0AE8-184C-4142-A73F-D1DAAC2A75F8},Yes,1,Weller Ave MPZ - TO 3 inch steel protective casing
TO 2 inch PVC casing,TO 2 inch PVC casing,Weller Ave Shallow,26.23,{5E7AB9E7-FFA3-44DA-808B-568C76E8C715},Yes,1,Weller Ave Shallow - TO 2 inch PVC casing
Top of female adaptor,Top of female adaptor,West Hewett,20.56,{AF773478-83B0-49EF-9941-6CA0EC67B883},Yes,1,West Hewett - Top of female adaptor
TO 6 inch steel casing,TO 6 inch steel casing,White City FAS-M1,13.62,{ABE234D0-F9C5-4248-A261-24159C1071D7},Yes,1,White City FAS-M1 - TO 6 inch steel casing
TO 4 inch PVC casing,TO 4 inch PVC casing,White City IAS-M1,14.13,{2B953125-B151-4697-AC10-E09B2098D62F},Yes,1,White City IAS-M1 - TO 4 inch PVC casing
TO 4 inch PVC casing,TO 4 inch PVC casing,White City IAS-M2,12.63,{FE07F60F-5F58-421C-A434-13BBBF877CD8},Yes,1,White City IAS-M2 - TO 4 inch PVC casing
TO 4 inch threaded nipple,TO 4 inch threaded nipple,White City IAS-TPW,13.12,{935E1DD2-7485-4075-B34D-F06D80FB50A0},Yes,1,White City IAS-TPW - TO 4 inch threaded nipple
TO 4 inch PVC casing,TO 4 inch PVC casing,White City SAS-M1,13.99,{317A6973-0CB1-4609-BFD0-18D24E464B62},Yes,1,White City SAS-M1 - TO 4 inch PVC casing
TO sanitary seal,TO sanitary seal,Zediker - Pine Ridge Dr,64.36,{F330FB90-D3C5-48DF-8594-CB53A5414C6B},Yes,1,Zediker - Pine Ridge Dr - TO sanitary seal
