name,label,locationname,elevation,locationglobalid,active,display,locationmpname
2nd pipe from enclosure,2nd pipe from enclosure,Lake Killarny at McLaughlin Dr,74.21,{1132DFE4-7B43-4009-ACAF-2972E79E83CA},Yes,2,Lake Killarny at McLaughlin Dr - 2nd pipe from enclosure
1st pipe from enclosure,1st pipe from enclosure,Lake Killarny at McLaughlin Dr,76.25,{5956B47B-936B-4B72-8620-8EDEA6B7EFE9},Yes,3,Lake Killarny at McLaughlin Dr - 1st pipe from enclosure
Ch Square on weir,Ch Square on weir,Lake Kinsale Outfall,74.71,{128EE672-3F2C-4CCB-8CDE-A21163F716C4},Yes,1,Lake Kinsale Outfall - Ch Square on weir
Ch Square in top of culvert headwall,Ch Square in top of culvert headwall,Lake Kinsale Outfall,80.55,{63061EC0-D614-45CF-ACD5-4D6EBD180738},Yes,2,Lake Kinsale Outfall - Ch Square in top of culvert headwall
Ch Square on bridge,Ch Square on bridge,Lake Lafayette Outfall,47.55,{FC59BD31-3B2F-4FF3-8547-5AA3AFBF61F3},Yes,1,Lake Lafayette Outfall - Ch Square on bridge
Ch Square on rail left of station,Ch Square on rail left of station,Lake Miccosukee Outfall,88.74,{69285D1B-AA07-43AF-8133-DBBD29307AA3},Yes,1,Lake Miccosukee Outfall - Ch Square on rail left of station
Staff,Staff,Lake Miccosukee Outfall,79.26,{5CF21E74-1FFF-4F24-B048-53EFBE76FF1A},Yes,2,Lake Miccosukee Outfall - Staff
Ch square on alum I-beam,Ch square on alum I-beam,Lake Munson Outfall,31.26,{3EC7AA26-0FBC-4227-9381-A35D004099BA},Yes,1,Lake Munson Outfall - Ch square on alum I-beam
Staff,Staff,Lauder Pond,159.48,{8EFCEDA1-8897-4A26-9B1F-44C0D7E573C9},Yes,1,Lauder Pond - Staff
1.75 inch pipe,1.75 inch pipe,Lauder Pond,159.48,{6F2F440A-7AC4-4360-BDFC-EB07C9784C92},Yes,2,Lauder Pond - 1.75 inch pipe
Ch Sq NE corner south box,Ch Sq NE corner south box,Lauder Pond,164.99,{CCF1363E-6C78-4CB0-866E-284599BAC220},Yes,3,Lauder Pond - Ch Sq NE corner south box
Ch Square right of transducer,Ch Square right of transducer,Leon HS Stormwater Inlet,108.09,{FB97B5C7-100B-42E2-8AC4-41CA9B253343},Yes,1,Leon HS Stormwater Inlet - Ch Square right of transducer
Ch Square SW corner of South headwall,Ch Square SW corner of South headwall,Leon HS Stormwater Inlet,109.98,{EE24243B-6078-4AEB-B1C7-02A5DA48527E},Yes,2,Leon HS Stormwater Inlet - Ch Square SW corner of South headwall
Staff,Staff,Little Bear Creek @ 388,0,{0F429180-E40D-49BA-9490-450C3E7AD4CE},Yes,1,Little Bear Creek @ 388 - Staff
Hole in top of 4 inch steel casing,Hole in top of 4 inch steel casing,Liza Jackson,7.82,{277D58A4-CD26-41B8-BC76-A0114E5769A4},Yes,1,Liza Jackson - Hole in top of 4 inch steel casing
TO protective casing,TO protective casing,McCulloch,8.92,{A5085A8E-637E-479A-A543-35B6B10362D2},Yes,1,McCulloch - TO protective casing
