Identifier,UniqueId,Name,Description,ReferencePointPeriods_0_StandardIdentifier,ReferencePointPeriods_0_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_0_ValidFrom,ReferencePointPeriods_0_Unit,ReferencePointPeriods_0_Elevation,ReferencePointPeriods_0_Uncertainty,ReferencePointPeriods_0_MeasurementDirection,ReferencePointPeriods_0_AppliedTime,ReferencePointPeriods_0_AppliedByUser,PrimarySinceDate,ReferencePointPeriods_0_Comment,ReferencePointPeriods_1_IsMeasuredAgainstLocalAssumedDatum,ReferencePointPeriods_1_ValidFrom,ReferencePointPeriods_1_Unit,ReferencePointPeriods_1_Elevation,ReferencePointPeriods_1_MeasurementDirection,ReferencePointPeriods_1_AppliedTime,ReferencePointPeriods_1_AppliedByUser,Latitude,Longitude,ReferencePointPeriods_0_Method,DecommissionedDate,DecommissionedReason,ReferencePointPeriods_1_StandardIdentifier,ReferencePointPeriods_1_Comment,DisplayOrder
000023,c6767f760aee401d92c88bfc565ec6d7,Ref point is 0.8ft below LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,-0.8,,FromBottomToTop,2021-04-30T22:42:45.2054182+00:00,admin,,,,,,,,,,,,,,,,,
000024,e0a70a2ecb434f2189d8e661469e0a9f,Ref point is 0.74ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0.74,,FromBottomToTop,2021-04-30T22:42:45.2273880+00:00,admin,,,,,,,,,,,,,,,,,
000028,99a186ecd70442cb9c64f31ee8a5d1be,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.2482160+00:00,admin,,,,,,,,,,,,,,,,,
000029,42a3f5ed0aa44b72ba25d5f089d36bac,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.2711750+00:00,admin,,,,,,,,,,,,,,,,,
000029,48d7d7ab5f124feda538dfcc06941621,Ref point is 1.53ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.53,,FromBottomToTop,2021-04-30T22:42:45.2895370+00:00,admin,,,,,,,,,,,,,,,,,
000029,41b5b3e8526045dfbe68b540f4819efb,Ref point is 1.57ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.57,,FromBottomToTop,2021-04-30T22:42:45.3078050+00:00,admin,,,,,,,,,,,,,,,,,
000029,c28595d31e564174951323be3eec1e83,Ref point is 1.65ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.65,,FromBottomToTop,2021-04-30T22:42:45.3245440+00:00,admin,,,,,,,,,,,,,,,,,
000029,b07d1cfd67f04e829c1416b487675230,Ref point is 1.6ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.6,,FromBottomToTop,2021-04-30T22:42:45.3406990+00:00,admin,,,,,,,,,,,,,,,,,
000029,af0dcc38e29b411ab6b813d1a949631b,Ref point is 2ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,2,,FromBottomToTop,2021-04-30T22:42:45.3567980+00:00,admin,,,,,,,,,,,,,,,,,
000029,e0ed22c62f47497fa95a6eba583d9d01,Ref point is 3.84ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,3.84,,FromBottomToTop,2021-04-30T22:42:45.3736320+00:00,admin,,,,,,,,,,,,,,,,,
000029,1a9031b2e0ef4b9f9c345f61614bf2ba,Ref point is 5.33ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,5.33,,FromBottomToTop,2021-04-30T22:42:45.3904992+00:00,admin,,,,,,,,,,,,,,,,,
000029,c9ce274641c84977a87cc746c2e46a68,Ref point is 5.88ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,5.88,,FromBottomToTop,2021-04-30T22:42:45.4068730+00:00,admin,,,,,,,,,,,,,,,,,
000029,86f2b4aa69c14c9a8086c9fa97fd7242,NGVD29 0ft,,NGVD29,FALSE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:45:00.0633030+00:00,admin,,,,,,,,,,,,,,,,,
000029,5fe86bfc1b8a4e619f4f48308c9d5ffb,TO protective casing,same as Ref point is 3.84ft above LSD,NGVD29,FALSE,2021-01-01T00:00:00.0000000+00:00,ft,8.92,,FromBottomToTop,2021-05-10T19:18:13.8396248+00:00,admin,,,,,,,,,,,,,,,,,1
000031,ce198ad972a24872ac80ffbe4a30a92e,Ref point is 0ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,0,,FromBottomToTop,2021-04-30T22:42:45.4279980+00:00,admin,,,,,,,,,,,,,,,,,
000031,9ff27de71dde4669b756bfdd17c03188,Ref point is 1.99ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1.99,,FromBottomToTop,2021-04-30T22:42:45.4481872+00:00,admin,,,,,,,,,,,,,,,,,
000031,99454d1be4ac4f6ab7d83ffe71e104d3,Ref point is 1ft above LSD,,,TRUE,0001-01-01T00:00:00.0000000+00:00,ft,1,,FromBottomToTop,2021-04-30T22:42:45.4667620+00:00,admin,,,,,,,,,,,,,,,,,
