Identifier,AttachmentType,AttachmentCategory,FileName,UniqueId,DateCreated,DateUploaded,UploadedByUser,Comment,Url,Tags,DateLastAccessed,GpsLatitude,GpsLongitude,Tags_0_UniqueId,Tags_0_Key,Tags_1_UniqueId,Tags_1_Key,Tags_2_UniqueId,Tags_2_Key,Tags_3_UniqueId,Tags_3_Key,Tags_4_UniqueId,Tags_4_Key,Tags_5_UniqueId,Tags_5_Key,Tags_6_UniqueId,Tags_6_Key
008449,Image,LocationPhoto,008449_MP.jpg,e4ad82db7cf94c0aa9bb9983f10d54c3,2023-07-19T16:22:24.6570000+00:00,2023-07-19T16:41:24.1563013+00:00,k_price,MP#faa8fb0af0e2481dac833e6a93daa151,../../apps/v1/attachments/enqwilduvrz9lvt0ahujbbro1/download,,2023-07-27T17:22:38.4890720+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
000728,Image,LocationPhoto,000728_20230323_MP.jpg,a10a30b0619d424296f24914997b4523,2023-07-18T19:11:05.2280000+00:00,2023-07-18T20:35:47.9856525+00:00,k_price,,../../apps/v1/attachments/2iyfdo1kx1rh54ezv0uv1gtl0/download,,2023-07-27T17:23:35.9603407+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
008460,Image,LocationPhoto,008460_MP.jpg,14512593e59f4d0b8722b0df6b7194fe,2023-07-19T16:22:24.7080000+00:00,2023-07-19T16:44:29.9926702+00:00,k_price,MP#9dcecae2387445e8ab5768e4953e3659,../../apps/v1/attachments/aah5kht1bbbvy80dyydvifo8l/download,,2023-07-27T17:22:41.6180338+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
012685,Image,LocationPhoto,012685_MP.jpg,55ddf185410143f6b150f88e2c4e7fcd,2023-07-19T17:43:41.5270000+00:00,2023-07-19T17:44:18.4781029+00:00,k_price,,../../apps/v1/attachments/1vkt8fk5vppyyvxhbc76gcnis/download,,2023-07-27T17:23:51.9799713+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
008469,Image,LocationPhoto,008469_MP.jpg,50fd65bdf314488c973ec9de9bfad1f8,2023-07-19T16:22:25.0480000+00:00,2023-07-19T16:54:32.4765634+00:00,k_price,MP#b733166322df45dfa39b71f31063eae4,../../apps/v1/attachments/5tqv4y6e6i6xh411pla02lcb2/download,,2023-07-27T17:22:49.9320904+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
012684,Image,LocationPhoto,012684_SITE.jpg,e8848d83cd6c4594b31dbe0de399f4dc,2023-07-19T16:22:24.0910000+00:00,2023-07-19T17:49:59.7021173+00:00,k_price,,../../apps/v1/attachments/emrf181gv56cui6gfrr7y6hnf/download,,2023-07-27T17:23:57.3539166+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
012684,Image,LocationPhoto,012684_SITE2.jpg,03149b387a694e919aa80017173722cf,2023-07-19T16:22:24.0170000+00:00,2023-07-19T17:49:59.6432382+00:00,k_price,,../../apps/v1/attachments/10amdfi2sw0t5akwkxa871ytv/download,,2023-07-27T17:24:00.8103075+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
012690,Image,LocationPhoto,0012690_SITE.jpg,2da532df1248421c96d214c2bf5b65ce,2023-07-19T16:22:24.0910000+00:00,2023-07-19T17:51:21.1337906+00:00,k_price,,../../apps/v1/attachments/280sgz1j1zbfw9telv6jpcvdj/download,,2023-07-27T17:24:02.5551259+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
012690,Image,LocationPhoto,0012690_SITE2.jpg,c77596fab8ee4365915c3c8186595d15,2023-07-19T16:22:24.0170000+00:00,2023-07-19T17:51:21.0656737+00:00,k_price,,../../apps/v1/attachments/1x37dv1vvevzq5wl90cdhyue9/download,,2023-07-27T17:24:05.3807945+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
008471,Image,LocationPhoto,008471_MP.jpg,790f5fcb70864c6ab338db47bebe2d19,2023-07-19T16:22:25.1620000+00:00,2023-07-19T16:57:17.1768493+00:00,k_price,MP#55fd198c2e2b43c18b2c7556a6d55e2f,../../apps/v1/attachments/v4kx31bl9qtd8v50tlw1034f/download,,2023-07-27T17:22:30.4844591+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
008495,Image,LocationPhoto,008495_MP.jpg,63a9ef2192484ebea5f13e27413b4a2a,2023-07-19T16:22:25.5810000+00:00,2023-07-19T17:05:24.5329237+00:00,k_price,MP#50cc6f84512046518b5061d51ccdc503,../../apps/v1/attachments/eqsba25w8my3hcwrzgh6sfi0l/download,,2023-07-27T17:24:06.8647883+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
005078,Image,LocationPhoto,NWF5078_Baker1_destroyed2.jpg,551bd17db490484aa7b5f0a5d943e069,2023-01-10T14:05:30.7840000+00:00,2023-01-10T14:07:11.9426200+00:00,t_countryman,Photo of former well location. Well reported to have been abandoned (destroyed?) 09/29/2022,../../apps/v1/attachments/17eaemor7sr5ku65223edynuq/download,[],2023-07-27T17:24:08.7364242+00:00,,,,,,,,,,,,,,,,
012959,Image,LocationPhoto,NWF12959_closeup1.jpg,f37706aca0ca4df7bf31c4255e3cc52b,2022-12-01T18:50:05.2030000+00:00,2022-12-01T18:51:00.7896827+00:00,t_countryman,Closeup of wellhead w/ MP indicated,../../apps/v1/attachments/9c3kjhrt7sgzeyeivx62029vq/download,[],2023-07-27T17:24:13.3132404+00:00,,,,,,,,,,,,,,,,
009606,Image,LocationPhoto,009606_20230322_MP.jpg,25f3fef6276549db95cde05b329449a4,2023-07-18T19:11:11.2900000+00:00,2023-07-18T21:25:00.6197114+00:00,k_price,MP#b5f63224e4614f5c875e74a25291049c,../../apps/v1/attachments/aqrqixiioq3iadyfvps8s429j/download,,2023-07-27T17:24:10.7958450+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
002912,Image,LocationPhoto,002912_20230321_SITE5.jpg,057b9a9c716f40e2b0660535a3769abc,2023-07-18T19:11:06.9970000+00:00,2023-07-18T20:51:59.4980131+00:00,k_price,,../../apps/v1/attachments/5wg7auinx6tf3wj6w6bfhetdj/download,,2023-07-27T17:24:17.7187262+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
002912,Image,LocationPhoto,002912_20230321_SITE3.jpg,d6d00ac529964df3a5997aa8c1a2fe12,2023-07-18T19:11:06.9000000+00:00,2023-07-18T20:51:58.5760018+00:00,k_price,,../../apps/v1/attachments/7b63269lhri7taxk3we1f25o0/download,,2023-07-27T17:24:19.7008566+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
009442,Image,LocationPhoto,009442_20230322_SITE.jpg,7c4a0530740f49c6955fab9cd49a9d6c,2023-07-18T19:11:11.0830000+00:00,2023-07-18T21:17:37.3939342+00:00,k_price,,../../apps/v1/attachments/6c09d85owjy6o2ifq4bdquzct/download,,2023-07-27T17:24:23.1474477+00:00,,,3155565e97f04240872d1e58e8582c78,Site Photo,,,,,,,,,,,,
000481,Image,LocationPhoto,NWF481_pic2.jpg,cd3bc687095e4e91acc0e9ebdfbeee54,2023-02-28T17:15:06.4080000+00:00,2023-02-28T17:17:11.7204049+00:00,t_countryman,,../../apps/v1/attachments/7xkir2d7prx3wsqxkaoje7ogw/download,[],2023-07-27T17:24:28.7935190+00:00,,,,,,,,,,,,,,,,
009506,Image,LocationPhoto,009506_20230322_MP.jpg,321bb269b0a8495a8c774bbd866b05b1,2023-07-18T19:11:11.1480000+00:00,2023-07-18T21:21:32.3382606+00:00,k_price,,../../apps/v1/attachments/6szrjvjo42zq68hmnj401vl2p/download,,2023-07-27T17:24:29.9572690+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
011355,Image,LocationPhoto,011355_Staff_MP.jpg,a76270946a1644fdb7b5084bf17ee4d6,2023-07-19T16:22:26.2900000+00:00,2023-07-19T17:27:22.5410956+00:00,k_price,MP#18b2933eb33d44dfa3db119237a5c645,../../apps/v1/attachments/2lbk3bmn2nsbd1eb8ntahxcja/download,,2023-07-27T17:23:10.7372573+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
003209,Image,LocationPhoto,nwf3209_20010509b.jpg,f39685ffaa2d49f69ba1b5b4e757b3eb,2023-03-30T13:51:52.0900000+00:00,2023-03-30T13:56:53.5980831+00:00,t_countryman,"By T_COUNTRYMAN, 2001-05-09",../../apps/v1/attachments/bzw7agr25bmxwiw5rfkmo33pn/download,,2023-07-27T17:24:32.5435726+00:00,,,1d51228633f04612941258290249fc84,17 - Photographs,,,,,,,,,,,,
003209,Image,LocationPhoto,nwf3209_20230329e.jpg,da837bc99f764ca18b056368c3841833,2023-03-30T13:07:48.5280000+00:00,2023-03-30T13:38:47.5635285+00:00,t_countryman,"By D_STANFORD,2023-03-29; view back towards shallow well at edge of overgrowth",../../apps/v1/attachments/1w3s79pqklsjezcw8x2arbotr/download,,2023-07-27T17:24:33.2876295+00:00,,,1d51228633f04612941258290249fc84,17 - Photographs,,,,,,,,,,,,
003209,Image,LocationPhoto,nwf3209_20230329c.jpg,457f069f190a4a4b8909f0016c0f7d64,2023-03-30T13:07:48.6640000+00:00,2023-03-30T13:38:41.2853577+00:00,t_countryman,"By D_STANFORD,2023-03-29; view of wellhead, flange plate on",../../apps/v1/attachments/9dkmk2o6ufm7e9t6uoqfe4og8/download,,2023-07-27T17:24:35.3192789+00:00,,,1d51228633f04612941258290249fc84,17 - Photographs,,,,,,,,,,,,
012796,Image,LocationPhoto,012796_012949_20230328_MP.png,0f85d454a5604be688f991f38acfa36e,2023-07-19T16:10:35.0780000+00:00,2023-07-19T16:11:34.4471022+00:00,k_price,MP#2dc2533da324492f9c211f4260c7c99b,../../apps/v1/attachments/2so6ley6bpe0omul1cbnu9idp/download,,2023-07-27T17:22:04.2995257+00:00,,,cf772ffb411b461ca9554d5c77dd8d8d,MP,,,,,,,,,,,,
