08/01/22	14:48:14	199	0	200	68	205	1572	
08/01/22	15:12:20	200	69	
08/01/22	15:15:52	200	70	
08/02/22	02:41:53	205	1547	
08/02/22	02:46:13	200	70	
08/02/22	14:39:49	205	1605	
08/02/22	14:44:09	200	70	
08/03/22	02:37:45	205	1544	
08/03/22	02:42:05	200	70	
08/03/22	14:35:42	205	1666	
08/03/22	14:40:02	200	70	
08/04/22	02:33:38	205	1551	
08/04/22	02:37:58	200	70	
08/04/22	12:44:23	200	71	
08/04/22	12:45:27	200	72	
08/04/22	12:46:37	200	73	
08/04/22	12:47:28	200	74	
08/04/22	12:47:58	200	75	
08/04/22	12:48:30	200	76	
08/04/22	12:48:56	200	77	
08/04/22	12:49:25	200	78	
08/04/22	12:50:14	200	79	
08/04/22	12:53:10	200	80	
08/04/22	12:57:26	200	81	
08/04/22	12:58:24	200	82	
08/04/22	13:00:00	200	83	
08/04/22	13:07:58	200	84	
08/04/22	13:09:21	200	85	
08/04/22	13:22:41	200	86	
08/04/22	14:31:34	205	1662	
08/04/22	14:35:54	200	86	
08/05/22	02:29:31	205	1550	
08/05/22	02:33:50	200	86	
08/05/22	14:27:27	205	1666	
08/05/22	14:31:47	200	86	
08/06/22	02:25:23	205	1548	
08/06/22	02:29:43	200	86	
08/06/22	14:23:20	205	1576	
08/06/22	14:27:39	200	86	
08/07/22	02:21:16	205	1548	
08/07/22	02:25:36	200	86	
08/07/22	14:19:12	205	1591	
08/07/22	14:23:32	200	86	
08/08/22	02:17:09	205	1542	
08/08/22	02:21:28	200	86	
08/08/22	14:15:05	205	1588	
08/08/22	14:19:25	200	86	
08/08/22	14:26:45	200	87	
08/08/22	14:27:57	200	88	
08/08/22	14:36:59	200	89	
08/08/22	14:38:04	200	90	
08/08/22	14:39:02	200	91	
08/08/22	14:39:47	200	92	
08/08/22	14:40:27	200	93	
08/08/22	14:40:49	200	94	
08/08/22	14:40:51	200	95	
08/08/22	14:41:13	200	96	
08/08/22	14:41:34	200	97	
08/08/22	14:41:55	200	98	
08/08/22	14:42:25	200	99	
08/08/22	14:48:36	200	100	
08/08/22	20:59:11	200	101	
08/08/22	21:03:01	200	102	
08/08/22	21:06:00	200	103	
08/08/22	21:08:54	200	104	
08/08/22	21:12:16	200	105	
08/08/22	21:15:05	200	106	
08/08/22	21:17:18	200	107	
08/08/22	21:20:17	200	108	
08/08/22	21:23:14	200	109	
